department,n_years,mean_yield,tech_trend_yr,tech_trend_pval,coef_temp,coef_temp_pval,coef_precip,coef_precip_pval,coef_extreme_heat,coef_extreme_heat_pval,r2,adj_r2,tech_trend_sig,coef_temp_sig,coef_precip_sig,coef_extreme_heat_sig
Haute_Loire,33,4.198319271329649,0.06538526944458194,0.0007641009386093272,0.23090697675440977,0.3206514213761864,74.11467774208208,0.2456070948154428,0,,0.4992342959330287,0.4474309472364455,***,,,
Ain,33,5.311351772534786,0.06956141680589356,2.3582124627666794e-05,0.2321122011646728,0.20051939488465959,22.374717992554455,0.6993545008780547,-0.240001194,0.06751923280264117,0.6460155730201589,0.5954463691658959,***,,,?
Saone_et_Loire,33,5.0884932674948455,0.09789811339487182,3.0432823594467707e-06,0.23473039899841444,0.3206786536226687,32.57464751160107,0.5410104992253424,-0.078108405,0.3734842859018839,0.6503131060142351,0.6003578354448401,***,,,
Haute_Saone,33,5.400842536874013,0.054465623602847776,0.003974963772664882,0.2611881668694731,0.2780249478614733,57.97639692367378,0.5466291958976224,-0.02075423,0.8647493340467186,0.40517132052638405,0.3201957948872961,**,,,
Aube,33,6.739084848484848,0.023661309852252867,0.04993154882823585,0.2682709277914131,0.10092323838264608,130.90421541377668,0.08599444437833537,-0.025453985,0.6133382237669645,0.3118193527336761,0.21350783169562992,*,,?,
Doubs,33,4.77708522154498,0.04588780453155561,0.0031263536785650406,0.2940184251921039,0.11900891268505763,16.89231365262409,0.7547237388958797,0,,0.47336855147456347,0.4188894361098632,**,,,
Var,33,3.6511884279075857,0.010098283502687102,0.5503920656852538,0.3107492713764958,0.18372979855491867,94.28508635350863,0.0022266011117501707,0.1019818253516498,0.6808644583053914,0.369773978498638,0.27974168971272917,,,**,
Nievre,33,5.5207828994261545,0.05634057714605453,0.00010573639751584539,0.3194825778032676,0.12428948988775992,120.9371642509283,0.03257165294326689,0.021625551150297174,0.8133378849584699,0.5968397784356849,0.5392454610693542,***,,*,
Jura,33,5.116112868117797,0.0630528502474966,0.001064398469729098,0.33240186071597516,0.14490723372358325,50.162257379314084,0.30471134719504184,-0.182726055,0.48270181047065885,0.5139009486124806,0.44445822698569215,**,,,
Herault,33,3.3546069107179175,0.014900657409647912,0.2432858725033487,0.3575758430261371,0.032740475961721235,60.549816983772196,0.025333113546348096,-0.310327638,0.005331185506479444,0.44304171614473986,0.3634762470225599,,*,*,**
